05-08 18:23:53.746 127.0.0.1:54323       26513  #r thread INFO: ----- H2O started  -----
05-08 18:23:53.753 127.0.0.1:54323       26513  #r thread INFO: Build git branch: rel-turing
05-08 18:23:53.753 127.0.0.1:54323       26513  #r thread INFO: Build git hash: 912599584db78b24b13c8f5f4669dd72aed1b684
05-08 18:23:53.753 127.0.0.1:54323       26513  #r thread INFO: Build git describe: jenkins-rel-turing-7
05-08 18:23:53.753 127.0.0.1:54323       26513  #r thread INFO: Build project version: 3.10.0.7 (latest version: 3.10.4.7)
05-08 18:23:53.753 127.0.0.1:54323       26513  #r thread INFO: Build age: 7 months and 18 days
05-08 18:23:53.753 127.0.0.1:54323       26513  #r thread INFO: Built by: 'jenkins'
05-08 18:23:53.753 127.0.0.1:54323       26513  #r thread INFO: Built on: '2016-09-19 23:29:27'
05-08 18:23:53.753 127.0.0.1:54323       26513  #r thread INFO: 
05-08 18:23:53.753 127.0.0.1:54323       26513  #r thread INFO: *** Your H2O version is too old! Please download the latest version 3.10.4.7 from http://h2o.ai/download/ ***
05-08 18:23:53.753 127.0.0.1:54323       26513  #r thread INFO: 
05-08 18:23:53.754 127.0.0.1:54323       26513  #r thread INFO: Processed H2O arguments: [-name, sparkling-water-navdeepgill_120813035, -ga_opt_out, -log_level, INFO, -baseport, 54321, -ip, 127.0.0.1, -log_dir, /Users/navdeepgill/Desktop/rsparkling/inst/examples/h2ologs]
05-08 18:23:53.754 127.0.0.1:54323       26513  #r thread INFO: Java availableProcessors: 8
05-08 18:23:53.754 127.0.0.1:54323       26513  #r thread INFO: Java heap totalMemory: 377.0 MB
05-08 18:23:53.754 127.0.0.1:54323       26513  #r thread INFO: Java heap maxMemory: 910.5 MB
05-08 18:23:53.754 127.0.0.1:54323       26513  #r thread INFO: Java version: Java 1.7.0_79 (from Oracle Corporation)
05-08 18:23:53.754 127.0.0.1:54323       26513  #r thread INFO: JVM launch parameters: [-Xmx1g, -XX:MaxPermSize=256m]
05-08 18:23:53.754 127.0.0.1:54323       26513  #r thread INFO: OS version: Mac OS X 10.11 (x86_64)
05-08 18:23:53.754 127.0.0.1:54323       26513  #r thread INFO: Machine physical memory: 16.00 GB
05-08 18:23:53.754 127.0.0.1:54323       26513  #r thread INFO: X-h2o-cluster-id: 1494293032731
05-08 18:23:53.754 127.0.0.1:54323       26513  #r thread INFO: User name: 'navdeepgill'
05-08 18:23:53.754 127.0.0.1:54323       26513  #r thread INFO: Opted out of sending usage metrics.
05-08 18:23:53.754 127.0.0.1:54323       26513  #r thread INFO: IPv6 stack selected: false
05-08 18:23:53.754 127.0.0.1:54323       26513  #r thread INFO: Network address/interface is not reachable in 150ms: /fe80:0:0:0:f8e9:7eff:fefa:d6c4%9/name:awdl0 (awdl0)
05-08 18:23:53.754 127.0.0.1:54323       26513  #r thread INFO: Possible IP Address: en0 (en0), fe80:0:0:0:aebc:32ff:feb4:4307%4
05-08 18:23:53.754 127.0.0.1:54323       26513  #r thread INFO: Possible IP Address: en0 (en0), 172.16.2.70
05-08 18:23:53.754 127.0.0.1:54323       26513  #r thread INFO: Possible IP Address: lo0 (lo0), fe80:0:0:0:0:0:0:1%1
05-08 18:23:53.754 127.0.0.1:54323       26513  #r thread INFO: Possible IP Address: lo0 (lo0), 0:0:0:0:0:0:0:1
05-08 18:23:53.754 127.0.0.1:54323       26513  #r thread INFO: Possible IP Address: lo0 (lo0), 127.0.0.1
05-08 18:23:53.754 127.0.0.1:54323       26513  #r thread INFO: Internal communication uses port: 54324
05-08 18:23:53.754 127.0.0.1:54323       26513  #r thread INFO: Listening for HTTP and REST traffic on http://127.0.0.1:54323/
05-08 18:23:53.784 127.0.0.1:54323       26513  #r thread INFO: H2O cloud name: 'sparkling-water-navdeepgill_120813035' on /127.0.0.1:54323, discovery address /232.233.120.105:59625
05-08 18:23:53.784 127.0.0.1:54323       26513  #r thread INFO: If you have trouble connecting, try SSH tunneling from your local machine (e.g., via port 55555):
05-08 18:23:53.784 127.0.0.1:54323       26513  #r thread INFO:   1. Open a terminal and run 'ssh -L 55555:localhost:54323 navdeepgill@127.0.0.1'
05-08 18:23:53.784 127.0.0.1:54323       26513  #r thread INFO:   2. Point your browser to http://localhost:55555
05-08 18:23:53.784 127.0.0.1:54323       26513  #r thread INFO: Log dir: '/Users/navdeepgill/Desktop/rsparkling/inst/examples/h2ologs'
05-08 18:23:53.784 127.0.0.1:54323       26513  #r thread INFO: Cur dir: '/Users/navdeepgill/Desktop/rsparkling/inst/examples'
05-08 18:23:53.790 127.0.0.1:54323       26513  #r thread INFO: HDFS subsystem successfully initialized
05-08 18:23:53.795 127.0.0.1:54323       26513  #r thread INFO: S3 subsystem successfully initialized
05-08 18:23:53.795 127.0.0.1:54323       26513  #r thread INFO: Flow dir: '/Users/navdeepgill/h2oflows'
