05-09 17:17:50.989 127.0.0.1:54321       36666  #r thread INFO: ----- H2O started  -----
05-09 17:17:50.997 127.0.0.1:54321       36666  #r thread INFO: Build git branch: rel-turing
05-09 17:17:50.997 127.0.0.1:54321       36666  #r thread INFO: Build git hash: 912599584db78b24b13c8f5f4669dd72aed1b684
05-09 17:17:50.997 127.0.0.1:54321       36666  #r thread INFO: Build git describe: jenkins-rel-turing-7
05-09 17:17:50.997 127.0.0.1:54321       36666  #r thread INFO: Build project version: 3.10.0.7 (latest version: unknown)
05-09 17:17:50.997 127.0.0.1:54321       36666  #r thread INFO: Build age: 7 months and 19 days
05-09 17:17:50.997 127.0.0.1:54321       36666  #r thread INFO: Built by: 'jenkins'
05-09 17:17:50.997 127.0.0.1:54321       36666  #r thread INFO: Built on: '2016-09-19 23:29:27'
05-09 17:17:50.997 127.0.0.1:54321       36666  #r thread INFO: 
05-09 17:17:50.997 127.0.0.1:54321       36666  #r thread INFO: *** Your H2O version is too old! Please download the latest version unknown from http://h2o.ai/download/ ***
05-09 17:17:50.997 127.0.0.1:54321       36666  #r thread INFO: 
05-09 17:17:50.997 127.0.0.1:54321       36666  #r thread INFO: Processed H2O arguments: [-name, sparkling-water-navdeepgill_797256374, -ga_opt_out, -log_level, INFO, -baseport, 54321, -ip, 127.0.0.1, -log_dir, /Users/navdeepgill/Desktop/rsparkling/inst/examples/h2ologs]
05-09 17:17:50.997 127.0.0.1:54321       36666  #r thread INFO: Java availableProcessors: 8
05-09 17:17:50.997 127.0.0.1:54321       36666  #r thread INFO: Java heap totalMemory: 329.0 MB
05-09 17:17:50.997 127.0.0.1:54321       36666  #r thread INFO: Java heap maxMemory: 910.5 MB
05-09 17:17:50.997 127.0.0.1:54321       36666  #r thread INFO: Java version: Java 1.7.0_79 (from Oracle Corporation)
05-09 17:17:50.997 127.0.0.1:54321       36666  #r thread INFO: JVM launch parameters: [-Xmx1g, -XX:MaxPermSize=256m]
05-09 17:17:50.998 127.0.0.1:54321       36666  #r thread INFO: OS version: Mac OS X 10.11 (x86_64)
05-09 17:17:50.998 127.0.0.1:54321       36666  #r thread INFO: Machine physical memory: 16.00 GB
05-09 17:17:50.998 127.0.0.1:54321       36666  #r thread INFO: X-h2o-cluster-id: 1494375469993
05-09 17:17:50.998 127.0.0.1:54321       36666  #r thread INFO: User name: 'navdeepgill'
05-09 17:17:50.998 127.0.0.1:54321       36666  #r thread INFO: Opted out of sending usage metrics.
05-09 17:17:50.998 127.0.0.1:54321       36666  #r thread INFO: IPv6 stack selected: false
05-09 17:17:50.998 127.0.0.1:54321       36666  #r thread INFO: Possible IP Address: lo0 (lo0), fe80:0:0:0:0:0:0:1%1
05-09 17:17:50.998 127.0.0.1:54321       36666  #r thread INFO: Possible IP Address: lo0 (lo0), 0:0:0:0:0:0:0:1
05-09 17:17:50.998 127.0.0.1:54321       36666  #r thread INFO: Possible IP Address: lo0 (lo0), 127.0.0.1
05-09 17:17:50.998 127.0.0.1:54321       36666  #r thread INFO: Internal communication uses port: 54322
05-09 17:17:50.998 127.0.0.1:54321       36666  #r thread INFO: Listening for HTTP and REST traffic on http://127.0.0.1:54321/
